Date,Open,High,Low,Close,AdjClose,Volume
1990-01-02,0.7843,0.7893,0.7833,0.7847,0.7847,780
1990-01-03,0.781,0.7857,0.7806,0.7813,0.7813,669
1990-01-04,0.7877,0.7893,0.7799,0.7879,0.7879,1210
1990-01-05,0.7831,0.7884,0.7825,0.7834,0.7834,768
1990-01-08,0.7849,0.7868,0.7804,0.7853,0.7853,833
1990-01-09,0.7851,0.7875,0.7843,0.7853,0.7853,426
1990-01-10,0.7885,0.7899,0.7841,0.7889,0.7889,754
1990-01-11,0.7913,0.7929,0.7818,0.7915,0.7915,1419
1990-01-12,0.792,0.7957,0.7905,0.7923,0.7923,673
1990-01-15,0.7911,0.7937,0.7898,0.7914,0.7914,511
1990-01-16,0.7904,0.7924,0.7878,0.7908,0.7908,600
1990-01-17,0.7921,0.7941,0.789,0.7924,0.7924,662
1990-01-18,0.7943,0.7968,0.7917,0.7946,0.7946,660
1990-01-19,0.7936,0.7954,0.79,0.7939,0.7939,698
1990-01-22,0.7952,0.7966,0.7911,0.7955,0.7955,710
1990-01-23,0.7717,0.7964,0.7714,0.7721,0.7721,3159
1990-01-24,0.7631,0.7712,0.7593,0.7634,0.7634,1563
1990-01-25,0.7601,0.7684,0.756,0.7605,0.7605,1633
1990-01-26,0.7595,0.7657,0.7558,0.7598,0.7598,1312
1990-01-29,0.7637,0.7681,0.758,0.7641,0.7641,1334
1990-01-30,0.7664,0.7678,0.7605,0.7668,0.7668,970
1990-01-31,0.7709,0.7725,0.764,0.7712,0.7712,1120
1990-02-01,0.7714,0.7733,0.765,0.7717,0.7717,1093
1990-02-02,0.774,0.7747,0.7693,0.7742,0.7742,717
1990-02-05,0.7659,0.7734,0.7628,0.7662,0.7662,1390
1990-02-06,0.7633,0.7687,0.763,0.7636,0.7636,761
1990-02-07,0.7563,0.763,0.7535,0.7567,0.7567,1265
1990-02-08,0.7537,0.7585,0.7489,0.754,0.754,1285
1990-02-09,0.7483,0.7556,0.7483,0.7487,0.7487,986
1990-02-12,0.7541,0.7551,0.7478,0.7545,0.7545,986
1990-02-13,0.7477,0.7563,0.7473,0.748,0.748,1209
1990-02-14,0.7429,0.7507,0.7423,0.7432,0.7432,1138
1990-02-15,0.7523,0.7533,0.739,0.7527,0.7527,1918
1990-02-16,0.7575,0.7587,0.7521,0.7578,0.7578,889
1990-02-19,0.7608,0.7624,0.7549,0.7611,0.7611,1003
1990-02-20,0.759,0.7649,0.7581,0.7593,0.7593,909
1990-02-21,0.7668,0.7692,0.7536,0.7671,0.7671,2048
1990-02-22,0.763,0.7689,0.761,0.7633,0.7633,1047
1990-02-23,0.7656,0.7674,0.76,0.7659,0.7659,984
1990-02-26,0.7658,0.7672,0.7619,0.7661,0.7661,710
1990-02-27,0.7589,0.7678,0.7565,0.7592,0.7592,1491
1990-02-28,0.7598,0.7624,0.7565,0.7601,0.7601,793
1990-03-01,0.764,0.7653,0.757,0.7644,0.7644,1104
1990-03-02,0.7597,0.7652,0.7587,0.76,0.76,869
1990-03-05,0.7586,0.7603,0.7558,0.759,0.759,611
1990-03-06,0.7617,0.7623,0.7576,0.7621,0.7621,636
1990-03-07,0.7591,0.7624,0.7572,0.7594,0.7594,702
1990-03-08,0.7609,0.7622,0.7565,0.7612,0.7612,767
1990-03-09,0.7587,0.7617,0.7583,0.7591,0.7591,466
1990-03-12,0.7577,0.7594,0.7552,0.7581,0.7581,573
1990-03-13,0.7635,0.7645,0.7566,0.7638,0.7638,1053
1990-03-14,0.7635,0.7671,0.7612,0.7638,0.7638,789
1990-03-15,0.7559,0.7649,0.7535,0.7563,0.7563,1510
1990-03-16,0.7535,0.7575,0.7522,0.7538,0.7538,719
1990-03-19,0.7559,0.7571,0.7505,0.7563,0.7563,891
1990-03-20,0.756,0.7584,0.7539,0.7564,0.7564,613
1990-03-21,0.7507,0.7572,0.7507,0.751,0.751,878
1990-03-22,0.7523,0.7538,0.7471,0.7527,0.7527,908
1990-03-23,0.747,0.753,0.7455,0.7472,0.7472,1016
1990-03-26,0.7457,0.7489,0.7421,0.746,0.746,927
1990-03-27,0.745,0.7494,0.7445,0.7453,0.7453,673
1990-03-28,0.7469,0.7499,0.7435,0.7471,0.7471,873
1990-03-29,0.752,0.7533,0.7458,0.7524,0.7524,1015
