Date,Open,High,Low,Close,AdjClose,Volume
1990-01-02,2753.41,2810.15,2740.4,2810.15,2810.15,20681300
1990-01-03,2808.23,2822.95,2799.06,2809.73,2809.73,23617100
1990-01-04,2809.73,2815.49,2772.61,2796.08,2796.08,24369100
1990-01-05,2796.07,2802.05,2769.62,2773.25,2773.25,20294300
1990-01-08,2773.25,2798.42,2762.16,2794.37,2794.37,16611200
1990-01-09,2794.58,2802.9,2766.0,2766.0,2766.0,15795900
1990-01-10,2766.21,2768.13,2729.31,2750.64,2750.64,19950200
1990-01-11,2750.64,2774.74,2750.64,2760.67,2760.67,15793500
1990-01-12,2760.88,2760.88,2682.81,2689.21,2689.21,24179800
1990-01-15,2689.21,2691.55,2666.6,2669.37,2669.37,18630000
1990-01-16,2669.37,2692.62,2641.21,2692.62,2692.62,24997500
1990-01-17,2692.62,2704.35,2648.68,2659.13,2659.13,21314600
1990-01-18,2659.13,2670.22,2633.75,2666.38,2666.38,22748600
1990-01-19,2665.32,2686.01,2665.32,2677.9,2677.9,23356900
1990-01-22,2678.75,2681.08,2600.23,2600.45,2600.45,20061400
1990-01-23,2600.45,2625.68,2588.51,2615.32,2615.32,22518100
1990-01-24,2615.32,2615.54,2553.38,2604.5,2604.5,28070400
1990-01-25,2604.5,2616.44,2550.68,2561.04,2561.04,22164100
1990-01-26,2561.04,2583.56,2522.52,2559.23,2559.23,25728800
1990-01-29,2558.78,2572.07,2529.05,2553.38,2553.38,16535500
1990-01-30,2553.38,2562.61,2519.14,2543.24,2543.24,24911700
1990-01-31,2543.47,2590.54,2542.79,2590.54,2590.54,22505700
1990-02-01,2590.32,2598.65,2580.18,2586.26,2586.26,19802100
1990-02-02,2586.26,2616.44,2581.98,2602.7,2602.7,18696500
1990-02-05,2602.7,2625.68,2598.65,2622.52,2622.52,13652200
1990-02-06,2622.52,2622.97,2594.37,2606.31,2606.31,16210100
1990-02-07,2606.31,2642.12,2585.81,2640.09,2640.09,20745500
1990-02-08,2640.09,2664.86,2631.98,2644.37,2644.37,20624300
1990-02-09,2644.59,2658.33,2635.59,2648.2,2648.2,15585400
1990-02-12,2648.42,2648.42,2619.14,2619.14,2619.14,12423800
1990-02-13,2619.14,2631.98,2600.0,2624.1,2624.1,18922500
1990-02-14,2624.1,2639.64,2615.54,2624.32,2624.32,14730400
1990-02-15,2624.32,2650.9,2622.07,2649.55,2649.55,18177700
1990-02-16,2649.55,2658.11,2633.33,2635.59,2635.59,23125700
1990-02-20,2636.04,2636.04,2585.81,2596.85,2596.85,17458200
1990-02-21,2596.85,2596.85,2565.32,2583.56,2583.56,20680100
1990-02-22,2583.56,2618.02,2574.55,2574.77,2574.77,21195900
1990-02-23,2574.77,2581.31,2548.42,2564.19,2564.19,19602700
1990-02-26,2564.64,2602.48,2564.41,2602.48,2602.48,17795900
1990-02-27,2602.48,2630.18,2601.35,2617.12,2617.12,21699900
1990-02-28,2617.12,2645.27,2614.64,2627.25,2627.25,22985500
1990-03-01,2627.7,2648.65,2618.47,2635.59,2635.59,23224800
1990-03-02,2636.71,2660.36,2636.49,2660.36,2660.36,20098700
1990-03-05,2660.14,2666.44,2644.14,2649.55,2649.55,19792700
1990-03-06,2649.55,2677.48,2644.14,2676.8,2676.8,22332000
1990-03-07,2676.58,2685.59,2665.54,2669.59,2669.59,22537300
1990-03-08,2669.37,2699.55,2668.47,2696.17,2696.17,21852600
1990-03-09,2695.95,2698.65,2672.52,2683.33,2683.33,21704800
1990-03-12,2683.33,2690.77,2669.14,2686.71,2686.71,16963600
1990-03-13,2686.71,2694.14,2667.12,2674.55,2674.55,20119400
1990-03-14,2674.77,2694.59,2672.3,2687.84,2687.84,16842000
1990-03-15,2687.84,2708.56,2687.84,2695.72,2695.72,16669700
1990-03-16,2695.27,2741.22,2695.27,2741.22,2741.22,36311000
1990-03-19,2736.49,2757.21,2713.06,2755.63,2755.63,17439800
1990-03-20,2755.63,2768.24,2733.78,2738.74,2738.74,22401800
1990-03-21,2738.74,2751.35,2724.77,2727.93,2727.93,14799500
1990-03-22,2727.7,2731.31,2678.6,2695.72,2695.72,21708900
1990-03-23,2694.82,2712.61,2694.82,2704.28,2704.28,19013900
1990-03-26,2704.28,2727.03,2704.28,2707.66,2707.66,12843800
1990-03-27,2707.66,2736.94,2697.3,2736.94,2736.94,14324900
1990-03-28,2736.71,2745.72,2727.03,2743.69,2743.69,16707400
1990-03-29,2743.47,2743.69,2721.85,2727.7,2727.7,15080800
1990-03-30,2727.03,2729.05,2701.35,2707.21,2707.21,15395200
1990-04-02,2706.76,2706.76,2679.5,2700.45,2700.45,16045600
1990-04-03,2700.45,2741.44,2700.45,2736.71,2736.71,18036100
1990-04-04,2736.26,2746.85,2714.86,2719.37,2719.37,21246900
1990-04-05,2719.37,2738.29,2718.69,2721.17,2721.17,13636400
1990-04-06,2721.17,2729.5,2701.8,2717.12,2717.12,12192400
1990-04-09,2716.89,2729.28,2714.64,2722.07,2722.07,10493300
1990-04-10,2722.07,2733.78,2715.99,2731.08,2731.08,13130200
1990-04-11,2730.86,2740.99,2723.65,2729.73,2729.73,15757600
1990-04-12,2729.5,2756.76,2728.83,2751.8,2751.8,12999400
1990-04-16,2751.8,2782.88,2751.8,2763.06,2763.06,19553900
1990-04-17,2763.06,2769.14,2741.44,2765.77,2765.77,14621200
1990-04-18,2765.99,2771.62,2727.48,2732.88,2732.88,19151100
1990-04-19,2733.33,2734.01,2709.23,2711.94,2711.94,17631600
1990-04-20,2712.16,2716.22,2672.52,2695.95,2695.95,24971900
1990-04-23,2695.95,2695.95,2656.98,2666.67,2666.67,16126200
