Date,Open,High,Low,Close,AdjClose,Volume
2002-05-06,0.9154,0.9154,0.9154,0.9154,0.9154,1
2002-05-07,0.9044,0.9044,0.9044,0.9044,0.9044,1
2002-05-08,0.9094,0.9094,0.9094,0.9094,0.9094,1
2002-05-09,0.914,0.914,0.914,0.914,0.914,1
2002-05-10,0.9141,0.9141,0.9141,0.9141,0.9141,1
2002-05-12,0.9116,0.9116,0.9116,0.9116,0.9116,1
2002-05-13,0.9028,0.9028,0.9028,0.9028,0.9028,1
2002-05-14,0.9126,0.9126,0.9126,0.9126,0.9126,1
2002-05-15,0.912,0.912,0.912,0.912,0.912,1
2002-05-16,0.9209,0.9209,0.9209,0.9209,0.9209,1
2002-05-18,0.9201,0.9201,0.9201,0.9201,0.9201,1
2002-05-19,0.921,0.921,0.921,0.921,0.921,1
2002-05-20,0.9199,0.9199,0.9199,0.9199,0.9199,1
2002-05-21,0.9258,0.9258,0.9258,0.9258,0.9258,1
2002-05-22,0.9215,0.9215,0.9215,0.9215,0.9215,1
2002-05-23,0.921,0.921,0.921,0.921,0.921,1
2002-05-24,0.9211,0.9211,0.9211,0.9211,0.9211,1
2002-05-26,0.9209,0.9209,0.9209,0.9209,0.9209,1
2002-05-27,0.9288,0.9288,0.9288,0.9288,0.9288,1
2002-05-28,0.9355,0.9355,0.9355,0.9355,0.9355,1
2002-05-29,0.9371,0.9371,0.9371,0.9371,0.9371,1
2002-05-30,0.9339,0.9339,0.9339,0.9339,0.9339,1
2002-06-01,0.9329,0.9329,0.9329,0.9329,0.9329,1
2002-06-02,0.9411,0.9411,0.9411,0.9411,0.9411,1
2002-06-03,0.9394,0.9394,0.9394,0.9394,0.9394,1
2002-06-04,0.9394,0.9394,0.9394,0.9394,0.9394,1
2002-06-05,0.9477,0.9477,0.9477,0.9477,0.9477,1
2002-06-06,0.944,0.944,0.944,0.944,0.944,1
2002-06-08,0.9432,0.9432,0.9432,0.9432,0.9432,1
2002-06-09,0.9446,0.9446,0.9446,0.9446,0.9446,1
2002-06-10,0.9483,0.9483,0.9483,0.9483,0.9483,1
2002-06-11,0.944,0.944,0.944,0.944,0.944,1
2002-06-12,0.9435,0.9435,0.9435,0.9435,0.9435,1
2002-06-13,0.9456,0.9456,0.9456,0.9456,0.9456,1
2002-06-15,0.9453,0.9453,0.9453,0.9453,0.9453,1
2002-06-16,0.9445,0.9445,0.9445,0.9445,0.9445,1
2002-06-17,0.9519,0.9519,0.9519,0.9519,0.9519,1
2002-06-18,0.9575,0.9575,0.9575,0.9575,0.9575,1
2002-06-19,0.965,0.965,0.965,0.965,0.965,1
2002-06-20,0.9711,0.9711,0.9711,0.9711,0.9711,1
2002-06-21,0.9706,0.9706,0.9706,0.9706,0.9706,1
2002-06-23,0.9705,0.9705,0.9705,0.9705,0.9705,1
2002-06-24,0.9794,0.9794,0.9794,0.9794,0.9794,1
2002-06-25,0.9806,0.9806,0.9806,0.9806,0.9806,1
2002-06-26,0.9887,0.9887,0.9887,0.9887,0.9887,1
2002-06-27,0.9919,0.9919,0.9919,0.9919,0.9919,1
2002-06-29,0.9915,0.9915,0.9915,0.9915,0.9915,1
2002-06-30,0.9911,0.9911,0.9911,0.9911,0.9911,1
2002-07-01,0.9864,0.9864,0.9864,0.9864,0.9864,1
2002-07-02,0.9807,0.9807,0.9807,0.9807,0.9807,1
2002-07-03,0.9795,0.9795,0.9795,0.9795,0.9795,1
2002-07-04,0.9731,0.9731,0.9731,0.9731,0.9731,1
2002-07-06,0.9746,0.9746,0.9746,0.9746,0.9746,1
2002-07-07,0.9908,0.9908,0.9908,0.9908,0.9908,1
2002-07-08,0.9936,0.9936,0.9936,0.9936,0.9936,1
2002-07-09,0.9886,0.9886,0.9886,0.9886,0.9886,1
2002-07-10,0.9892,0.9892,0.9892,0.9892,0.9892,1
2002-07-11,0.9915,0.9915,0.9915,0.9915,0.9915,1
2002-07-13,0.9912,0.9912,0.9912,0.9912,0.9912,1
2002-07-14,1.0036,1.0036,1.0036,1.0036,1.0036,1
2002-07-15,1.012,1.012,1.012,1.012,1.012,1
2002-07-16,1.0071,1.0071,1.0071,1.0071,1.0071,1
2002-07-17,1.0112,1.0112,1.0112,1.0112,1.0112,1
2002-07-18,1.0117,1.0117,1.0117,1.0117,1.0117,1
2002-07-19,1.0107,1.0107,1.0107,1.0107,1.0107,1
2002-07-20,1.0112,1.0112,1.0112,1.0112,1.0112,1
