Date,Open,High,Low,Close,AdjClose,Volume
2002-05-06,1.4681,1.4681,1.4681,1.4681,1.4681,1
2002-05-07,1.4559,1.4559,1.4559,1.4559,1.4559,1
2002-05-08,1.46,1.46,1.46,1.46,1.46,1
2002-05-09,1.4639,1.4639,1.4639,1.4639,1.4639,1
2002-05-10,1.4638,1.4638,1.4638,1.4638,1.4638,1
2002-05-12,1.4567,1.4567,1.4567,1.4567,1.4567,1
2002-05-13,1.4503,1.4503,1.4503,1.4503,1.4503,1
2002-05-14,1.4606,1.4606,1.4606,1.4606,1.4606,1
2002-05-15,1.4565,1.4565,1.4565,1.4565,1.4565,1
2002-05-16,1.4582,1.4582,1.4582,1.4582,1.4582,1
2002-05-18,1.4581,1.4581,1.4581,1.4581,1.4581,1
2002-05-19,1.4584,1.4584,1.4584,1.4584,1.4584,1
2002-05-20,1.4599,1.4599,1.4599,1.4599,1.4599,1
2002-05-21,1.4589,1.4589,1.4589,1.4589,1.4589,1
2002-05-22,1.4551,1.4551,1.4551,1.4551,1.4551,1
2002-05-23,1.4573,1.4573,1.4573,1.4573,1.4573,1
2002-05-26,1.4571,1.4571,1.4571,1.4571,1.4571,1
2002-05-27,1.4591,1.4591,1.4591,1.4591,1.4591,1
2002-05-28,1.462,1.462,1.462,1.462,1.462,1
2002-05-29,1.4652,1.4652,1.4652,1.4652,1.4652,1
2002-05-30,1.4568,1.4568,1.4568,1.4568,1.4568,1
2002-06-01,1.4563,1.4563,1.4563,1.4563,1.4563,1
2002-06-02,1.4634,1.4634,1.4634,1.4634,1.4634,1
2002-06-03,1.4588,1.4588,1.4588,1.4588,1.4588,1
2002-06-04,1.46,1.46,1.46,1.46,1.46,1
2002-06-05,1.4608,1.4608,1.4608,1.4608,1.4608,1
2002-06-06,1.4601,1.4601,1.4601,1.4601,1.4601,1
2002-06-08,1.4595,1.4595,1.4595,1.4595,1.4595,1
2002-06-09,1.4606,1.4606,1.4606,1.4606,1.4606,1
2002-06-10,1.4716,1.4716,1.4716,1.4716,1.4716,1
2002-06-11,1.4712,1.4712,1.4712,1.4712,1.4712,1
2002-06-12,1.4724,1.4724,1.4724,1.4724,1.4724,1
2002-06-13,1.4769,1.4769,1.4769,1.4769,1.4769,1
2002-06-15,1.4778,1.4778,1.4778,1.4778,1.4778,1
2002-06-16,1.4798,1.4798,1.4798,1.4798,1.4798,1
2002-06-17,1.4911,1.4911,1.4911,1.4911,1.4911,1
2002-06-18,1.4912,1.4912,1.4912,1.4912,1.4912,1
2002-06-19,1.4986,1.4986,1.4986,1.4986,1.4986,1
2002-06-20,1.4974,1.4974,1.4974,1.4974,1.4974,1
2002-06-21,1.4974,1.4974,1.4974,1.4974,1.4974,1
2002-06-23,1.5012,1.5012,1.5012,1.5012,1.5012,1
2002-06-24,1.5088,1.5088,1.5088,1.5088,1.5088,1
2002-06-25,1.5254,1.5254,1.5254,1.5254,1.5254,1
2002-06-26,1.5297,1.5297,1.5297,1.5297,1.5297,1
2002-06-27,1.5334,1.5334,1.5334,1.5334,1.5334,1
2002-06-29,1.5331,1.5331,1.5331,1.5331,1.5331,1
2002-06-30,1.5332,1.5332,1.5332,1.5332,1.5332,1
2002-07-01,1.536,1.536,1.536,1.536,1.536,1
2002-07-02,1.5278,1.5278,1.5278,1.5278,1.5278,1
2002-07-03,1.5277,1.5277,1.5277,1.5277,1.5277,1
2002-07-04,1.5223,1.5223,1.5223,1.5223,1.5223,1
2002-07-05,1.5222,1.5222,1.5222,1.5222,1.5222,1
2002-07-07,1.5448,1.5448,1.5448,1.5448,1.5448,1
2002-07-08,1.5488,1.5488,1.5488,1.5488,1.5488,1
2002-07-09,1.5476,1.5476,1.5476,1.5476,1.5476,1
2002-07-10,1.5548,1.5548,1.5548,1.5548,1.5548,1
2002-07-11,1.5536,1.5536,1.5536,1.5536,1.5536,1
2002-07-12,1.5536,1.5536,1.5536,1.5536,1.5536,1
2002-07-14,1.5692,1.5692,1.5692,1.5692,1.5692,1
2002-07-15,1.5758,1.5758,1.5758,1.5758,1.5758,1
2002-07-16,1.5709,1.5709,1.5709,1.5709,1.5709,1
2002-07-17,1.5732,1.5732,1.5732,1.5732,1.5732,1
2002-07-18,1.5776,1.5776,1.5776,1.5776,1.5776,1
2002-07-20,1.577,1.577,1.577,1.577,1.577,1
2002-07-21,1.5797,1.5797,1.5797,1.5797,1.5797,1
2002-07-22,1.5633,1.5633,1.5633,1.5633,1.5633,1
2002-07-23,1.5725,1.5725,1.5725,1.5725,1.5725,1
2002-07-24,1.5842,1.5842,1.5842,1.5842,1.5842,1
2002-07-25,1.5648,1.5648,1.5648,1.5648,1.5648,1
2002-07-26,1.5648,1.5648,1.5648,1.5648,1.5648,1
2002-07-27,1.5648,1.5648,1.5648,1.5648,1.5648,1
2002-07-28,1.5632,1.5632,1.5632,1.5632,1.5632,1
2002-07-29,1.5742,1.5742,1.5742,1.5742,1.5742,1
2002-07-30,1.5643,1.5643,1.5643,1.5643,1.5643,1
2002-07-31,1.5613,1.5613,1.5613,1.5613,1.5613,1
2002-08-01,1.57,1.57,1.57,1.57,1.57,1
2002-08-03,1.5703,1.5703,1.5703,1.5703,1.5703,1
2002-08-04,1.5611,1.5611,1.5611,1.5611,1.5611,1
2002-08-05,1.5377,1.5377,1.5377,1.5377,1.5377,1
2002-08-06,1.5397,1.5397,1.5397,1.5397,1.5397,1
2002-08-07,1.5314,1.5314,1.5314,1.5314,1.5314,1
2002-08-08,1.5244,1.5244,1.5244,1.5244,1.5244,1
2002-08-10,1.5241,1.5241,1.5241,1.5241,1.5241,1
