Date,Open,High,Low,Close,AdjClose,Volume
1990-01-02,353.4,359.69,351.98,359.69,359.69,162070000
1990-01-03,359.69,360.59,357.89,358.76,358.76,192330000
1990-01-04,358.76,358.76,352.89,355.67,355.67,177000000
1990-01-05,355.67,355.67,351.35,352.2,352.2,158530000
1990-01-08,352.2,354.24,350.54,353.79,353.79,140110000
1990-01-09,353.83,354.17,349.61,349.62,349.62,155210000
1990-01-10,349.62,349.62,344.32,347.31,347.31,175990000
1990-01-11,347.31,350.14,347.31,348.53,348.53,154390000
1990-01-12,348.53,348.53,339.49,339.93,339.93,183880000
1990-01-15,339.93,339.94,336.57,337.0,337.0,140590000
1990-01-16,337.0,340.75,333.37,340.75,340.75,186070000
1990-01-17,340.77,342.01,336.26,337.4,337.4,170470000
1990-01-18,337.4,338.38,333.98,338.19,338.19,178590000
1990-01-19,338.19,340.48,338.19,339.15,339.15,185590000
1990-01-22,339.14,339.96,330.28,330.38,330.38,148380000
1990-01-23,330.38,332.76,328.67,331.61,331.61,179300000
1990-01-24,331.61,331.71,324.17,330.26,330.26,207830000
1990-01-25,330.26,332.33,325.33,326.08,326.08,172270000
1990-01-26,326.09,328.58,321.44,325.8,325.8,198190000
1990-01-29,325.8,327.31,321.79,325.2,325.2,150770000
1990-01-30,325.2,325.73,319.83,322.98,322.98,186030000
1990-01-31,322.98,329.08,322.98,329.08,329.08,189660000
1990-02-01,329.08,329.86,327.76,328.79,328.79,154580000
1990-02-02,328.79,332.1,328.09,330.92,330.92,164400000
1990-02-05,330.92,332.16,330.45,331.85,331.85,130950000
1990-02-06,331.85,331.86,328.2,329.66,329.66,134070000
1990-02-07,329.66,333.76,326.55,333.75,333.75,186710000
1990-02-08,333.75,336.09,332.0,332.96,332.96,176240000
1990-02-09,333.02,334.6,332.41,333.62,333.62,146910000
1990-02-12,333.62,333.62,329.97,330.08,330.08,118390000
1990-02-13,330.08,331.61,327.92,331.02,331.02,144490000
1990-02-14,331.02,333.2,330.64,332.01,332.01,138530000
