Date,Open,High,Low,Close,AdjClose,Volume
1990-01-02,146.55,146.78,143.4,146.6,146.6,2322
1990-01-03,145.32,146.9,145.05,145.37,145.37,1279
1990-01-04,143.33,145.94,142.8,143.37,143.37,2171
1990-01-05,144.5,144.65,143.0,144.55,144.55,1160
1990-01-08,144.1,144.8,143.85,144.15,144.15,676
1990-01-09,145.12,145.5,144.05,145.17,145.17,1016
1990-01-10,145.65,145.95,144.45,145.7,145.7,1047
1990-01-11,145.45,145.58,144.95,145.47,145.47,452
1990-01-12,145.75,146.0,144.75,145.8,145.8,876
1990-01-15,145.73,145.91,145.05,145.78,145.78,609
1990-01-16,145.37,146.07,145.1,145.39,145.39,684
1990-01-17,145.38,145.69,145.15,145.41,145.41,390
1990-01-18,146.3,146.43,145.3,146.32,146.32,791
1990-01-19,145.95,146.72,145.03,145.99,145.99,1171
1990-01-22,146.53,146.63,146.0,146.56,146.56,449
1990-01-23,145.85,146.72,145.76,145.88,145.88,674
1990-01-24,145.65,146.22,144.65,145.68,145.68,1093
1990-01-25,143.85,145.59,143.75,143.88,143.88,1283
1990-01-26,142.82,144.22,142.75,142.84,142.84,1039
1990-01-29,142.92,143.47,142.5,142.94,142.94,696
1990-01-30,144.8,145.95,142.7,144.85,144.85,2246
1990-01-31,144.43,145.38,143.85,144.45,144.45,1072
1990-02-01,144.92,145.16,144.2,144.94,144.94,681
1990-02-02,145.55,145.65,144.7,145.6,145.6,672
1990-02-05,144.75,145.73,144.55,144.8,144.8,829
1990-02-06,145.22,145.53,144.3,145.25,145.25,865
1990-02-07,145.55,145.75,144.85,145.57,145.57,637
1990-02-08,145.25,145.67,144.8,145.3,145.3,617
1990-02-09,144.7,145.43,144.4,144.75,144.75,728
1990-02-12,144.28,144.88,144.0,144.31,144.31,627
1990-02-13,144.25,144.73,144.15,144.3,144.3,420
1990-02-14,144.5,144.62,144.05,144.53,144.53,414
1990-02-15,144.83,144.94,144.25,144.87,144.87,496
1990-02-16,143.95,145.15,143.8,144.0,144.0,950
1990-02-19,144.6,144.77,143.8,144.62,144.62,690
1990-02-20,145.15,145.57,144.35,145.18,145.18,858
1990-02-21,145.53,145.71,144.55,145.56,145.56,816
1990-02-22,146.33,146.7,145.07,146.36,146.36,1131
1990-02-23,147.05,147.45,145.78,147.1,147.1,1152
1990-02-26,148.55,149.1,147.05,148.6,148.6,1394
1990-02-27,148.69,149.62,148.05,148.72,148.72,1069
1990-02-28,149.05,149.22,148.15,149.07,149.07,737
1990-03-01,149.85,149.97,148.9,149.88,149.88,733
1990-03-02,150.3,150.55,149.35,150.35,150.35,817
1990-03-05,149.0,150.55,148.48,149.05,149.05,1394
1990-03-06,150.0,150.07,148.4,150.05,150.05,1132
1990-03-07,150.28,151.44,149.72,150.31,150.31,1155
1990-03-08,151.1,151.38,149.75,151.12,151.12,1096
1990-03-09,151.25,151.47,150.88,151.28,151.28,409
1990-03-12,152.77,152.81,151.2,152.8,152.8,1073
1990-03-13,152.05,153.09,151.85,152.09,152.09,829
1990-03-14,152.1,152.68,151.55,152.12,152.12,760
1990-03-15,152.0,153.33,151.98,152.03,152.03,900
1990-03-16,152.57,152.85,151.75,152.62,152.62,739
1990-03-19,152.97,153.81,152.25,153.0,153.0,1034
1990-03-20,154.27,154.54,152.1,154.32,154.32,1598
1990-03-21,154.6,154.68,153.55,154.62,154.62,750
1990-03-22,154.95,155.47,154.15,154.97,154.97,869
1990-03-23,154.25,155.3,152.7,154.3,154.3,1694
1990-03-26,156.7,156.8,154.7,156.72,156.72,1359
1990-03-27,157.8,157.93,156.31,157.82,157.82,1045
1990-03-28,158.6,159.33,157.1,158.62,158.62,1419
1990-03-29,156.31,158.89,156.1,156.34,156.34,1775
1990-03-30,158.5,158.62,155.7,158.53,158.53,1860
1990-04-02,159.16,160.38,158.25,159.19,159.19,1348
1990-04-03,159.83,159.88,158.24,159.87,159.87,1045
1990-04-04,159.0,159.93,157.78,159.03,159.03,1364
1990-04-05,157.35,159.21,157.13,157.38,157.38,1326
1990-04-06,157.62,157.85,156.5,157.67,157.67,875
1990-04-09,158.17,159.65,155.45,158.22,158.22,2650
1990-04-10,157.7,158.8,157.38,157.75,157.75,914
1990-04-11,158.0,158.66,157.37,158.05,158.05,833
1990-04-12,158.05,158.65,157.85,158.15,158.15,524
1990-04-13,158.67,158.72,158.0,158.69,158.69,473
1990-04-16,159.32,159.7,158.8,159.37,159.37,583
1990-04-17,159.83,160.21,159.13,159.88,159.88,694
1990-04-18,158.1,160.25,157.98,158.15,158.15,1436
1990-04-19,156.87,158.65,156.1,156.89,156.89,1627
1990-04-20,157.45,158.3,156.35,157.5,157.5,1251
1990-04-23,157.93,157.98,156.85,157.98,157.98,735
1990-04-24,158.95,159.0,157.51,158.97,158.97,957
1990-04-25,158.83,159.33,158.45,158.88,158.88,572
1990-04-26,159.2,159.38,158.15,159.25,159.25,791
1990-04-27,159.2,159.53,158.5,159.25,159.25,665
1990-04-30,158.85,159.53,158.7,158.9,158.9,540
1990-05-01,158.75,159.18,158.25,158.78,158.78,604
1990-05-02,158.08,158.9,157.74,158.13,158.13,750
1990-05-03,158.15,158.25,157.4,158.19,158.19,557
1990-05-04,158.15,159.0,157.98,158.2,158.2,661
1990-05-07,158.15,158.43,157.45,158.18,158.18,638
1990-05-08,157.58,158.33,157.28,157.63,157.63,683
1990-05-09,156.37,159.65,156.25,156.42,156.42,2149
1990-05-10,156.56,157.24,156.28,156.59,156.59,630
1990-05-11,152.7,156.74,152.55,152.75,152.75,2693
1990-05-14,152.35,153.88,152.2,152.38,152.38,1111
1990-05-15,150.25,152.5,150.18,150.28,150.28,1541
1990-05-16,151.7,152.69,150.0,151.74,151.74,1781
1990-05-17,152.11,152.57,151.5,152.13,152.13,721
1990-05-18,153.0,153.2,151.88,153.05,153.05,881
1990-05-21,153.64,153.79,152.85,153.68,153.68,631
1990-05-22,151.17,153.79,151.1,151.2,151.2,1769
1990-05-23,151.41,151.97,150.5,151.44,151.44,987
1990-05-24,150.83,152.0,150.78,150.88,150.88,822
1990-05-25,149.3,151.26,149.13,149.34,149.34,1428
1990-05-28,148.95,149.81,148.85,148.97,148.97,660
