Date,Open,High,Low,Close,AdjClose,Volume
1990-01-02,399.45,399.45,399.45,399.45,399.45,0
1990-01-03,394.75,394.75,394.75,394.75,394.75,0
1990-01-04,399.05,399.05,399.05,399.05,399.05,0
1990-01-05,406.35,406.35,406.35,406.35,406.35,0
1990-01-08,402.1,402.1,402.1,402.1,402.1,0
1990-01-09,405.75,405.75,405.75,405.75,405.75,0
1990-01-10,411.45,411.45,411.45,411.45,411.45,0
1990-01-11,413.45,413.45,413.45,413.45,413.45,0
1990-01-12,415.38,415.38,415.38,415.38,415.38,0
1990-01-15,415.45,415.45,415.45,415.45,415.45,0
1990-01-16,409.25,409.25,409.25,409.25,409.25,0
1990-01-17,413.45,413.45,413.45,413.45,413.45,0
1990-01-18,410.9,410.9,410.9,410.9,410.9,0
1990-01-19,410.15,410.15,410.15,410.15,410.15,0
1990-01-22,408.65,408.65,408.65,408.65,408.65,0
1990-01-23,413.2,413.2,413.2,413.2,413.2,0
1990-01-24,417.65,417.65,417.65,417.65,417.65,0
1990-01-25,418.12,418.12,418.12,418.12,418.12,0
1990-01-26,420.25,420.25,420.25,420.25,420.25,0
1990-01-29,419.0,419.0,419.0,419.0,419.0,0
1990-01-30,418.85,418.85,418.85,418.85,418.85,0
1990-01-31,411.7,411.7,411.7,411.7,411.7,0
1990-02-01,417.9,417.9,417.9,417.9,417.9,0
1990-02-02,418.35,418.35,418.35,418.35,418.35,0
1990-02-05,422.95,422.95,422.95,422.95,422.95,0
1990-02-06,421.5,421.5,421.5,421.5,421.5,0
1990-02-07,417.8,417.8,417.8,417.8,417.8,0
1990-02-08,418.9,418.9,418.9,418.9,418.9,0
1990-02-09,416.0,416.0,416.0,416.0,416.0,0
1990-02-12,419.55,419.55,419.55,419.55,419.55,0
1990-02-13,418.05,418.05,418.05,418.05,418.05,0
1990-02-14,416.8,416.8,416.8,416.8,416.8,0
1990-02-15,413.55,413.55,413.55,413.55,413.55,0
1990-02-16,417.5,417.5,417.5,417.5,417.5,0
1990-02-19,416.6,416.6,416.6,416.6,416.6,0
1990-02-20,419.35,419.35,419.35,419.35,419.35,0
1990-02-21,417.55,417.55,417.55,417.55,417.55,0
1990-02-22,416.75,416.75,416.75,416.75,416.75,0
1990-02-23,415.15,415.15,415.15,415.15,415.15,0
1990-02-26,408.55,408.55,408.55,408.55,408.55,0
1990-02-27,408.65,408.65,408.65,408.65,408.65,0
1990-02-28,406.75,406.75,406.75,406.75,406.75,0
1990-03-01,406.95,406.95,406.95,406.95,406.95,0
1990-03-02,403.5,403.5,403.5,403.5,403.5,0
1990-03-05,404.55,404.55,404.55,404.55,404.55,0
1990-03-06,404.0,404.0,404.0,404.0,404.0,0
1990-03-07,401.55,401.55,401.55,401.55,401.55,0
1990-03-08,400.1,400.1,400.1,400.1,400.1,0
